,definition,word,correct_answers,good_answers_in_a_row,good_answer,word_to_learn
0,"A person who writes books, articles, or other texts.",author,0,False,False,False
1,To make something less severe or intense.,alleviate,0,False,False,False
2,Able to be trusted or believed.,reliable,0,False,False,False
3,A sudden strong feeling of fear.,panic,0,False,False,False
4,To look at something carefully.,examine,0,False,False,False
5,Happening or done at the same time.,simultaneous,0,False,False,False
6,A short period of rest or relief.,respite,0,False,False,False
7,To say something suddenly and without thinking.,blurt,0,False,False,False
8,"Very large in size, amount, or degree.",enormous,0,False,False,False
9,The ability to wait calmly without getting angry.,patience,0,False,False,False
10,To give support or confidence to someone.,encourage,0,False,False,False
11,Clear enough to be seen or understood easily.,obvious,0,False,False,False
