,verb,person,thing,adjective,adverb,correct_answers,good_answers_in_a_row,good_answer,word_to_learn
0,analyse,analyst,analysis,analytical,analytically,0,False,False,False
1,depend,dependant,dependence/dependency,dependent/dependable,,0,False,False,False
2,decide,decisive,decision,deciding/indecisive,decidedly,0,False,False,False
3,industrialise,industrialist,industry/industrialism,industrial/industrious,,0,False,False,False
4,attract,,attraction,attractive/unattractive,attractively,0,False,False,False
5,necessitate,,necessity,necessary/unnecessary,necessarily,0,False,False,False
6,communicate,communicator,communication/communications,communicative/uncommunicative,communicatively,0,False,False,False
7,negotiate,negotiator,negotiation,negotiable,,0,False,False,False
8,economise/economize,economist,economy,economic/economical,economically,0,False,False,False
9,finance,financier,finance/finances,financial,,0,False,False,False
10,advertise,advertiser,advertisement/advertorial,advertised/advertising,,0,False,False,False
11,succeed,,success,successful/unsuccessful,successfully,0,False,False,False
12,attend,attendant,attendance,attended,,0,False,False,False
13,solve,,solution,soluble/insoluble,,0,False,False,False
14,interview,interviewee/interviewer,,interviewed,,0,False,False,False
15,compare,,comparison,comparative,comparatively,0,False,False,False
16,govern,governor,government,governing,,0,False,False,False
17,operate,operator,operation,operative/operational,,0,False,False,False
18,comment,commentator,comment/commentary,,,0,False,False,False
19,distribute,distributor,distribution,distributive,,0,False,False,False
20,assist,assistant,assistance,,,0,False,False,False
21,employ,employer/employee,employment/unemployment,employed/unemployed,,0,False,False,False
22,dedicate,,dedication,dedicated,dedicatedly,0,False,False,False
23,know,,knowledge/know-how,known/unknown,knowingly,0,False,False,False
24,populate,populist,population,populated/populous/populist,,0,False,False,False
25,predict,,prediction,predictable/unpredictable,predictably,0,False,False,False
26,inform,informant,information,informative/informed,,0,False,False,False
27,develop,developer,development,developing/developed/undeveloped,,0,False,False,False
28,innovate,innovator,innovation,innovative/innovatory,,0,False,False,False
29,apply,applicant,application,applicable,,0,False,False,False
30,motivate,,motivation/motive,motivated/highly\well-motivated,,0,False,False,False
31,advise,adviser,advice,advisable/advisory,,0,False,False,False
32,create,creator,creation/creativity,creative,creatively,0,False,False,False
33,manage,manager,management,managed/manageable/managerial/managing,,0,False,False,False
34,appoint,appointee,appointment,appointed,,0,False,False,False
35,,,possibility,possible/impossible,possibly,0,False,False,False
36,organize,organizer,organisation,organized/organising/organizational,,0,False,False,False
37,access,,access/accessibility,accessible/inaccessible,,0,False,False,False
38,invest,investor,investment,,,0,False,False,False
