,definition,word,correct_answers,good_answers_in_a_row,good_answer,word_to_learn
0,znieważać,insult,0,False,False,False
1,"celowo, umyślnie, specjalnie",on purpose,0,False,False,False
2,wstawiać,inset,0,False,False,False
3,usunąć,expel,0,False,False,False
4,potężny,mighty,0,False,False,False
5,"wyczerpujący, obszerny",comprehensive,0,False,False,False
6,opuszczać,forsake,0,False,False,False
7,cenny czas,precious time,0,False,False,False
8,ubóstwo,poverty,0,False,False,False
9,końcowy,trailing,0,False,False,False
10,wytrwały,tenacious,0,False,False,False
11,pozbyć się,rid of,0,False,False,False
12,oprzeć się pokusie,resist the urge,0,False,False,False
13,eliminować,rid,0,False,False,False
14,równorzędność,equivalence,0,False,False,False
15,wskaźniki,gauges,0,False,False,False
